day,susceptible,crowd,quitted,loyal
0.0000,298987.480318,1009.854636,2.612790,0.052254
0.0500,298974.837140,1019.806505,5.251328,0.105021
0.1000,298962.069257,1029.856557,7.915869,0.158304
0.1500,298949.175450,1040.005748,10.606668,0.212109
0.2000,298936.154489,1050.255046,13.323986,0.266442
0.2500,298923.005129,1060.605427,16.068082,0.321307
0.3000,298909.726118,1071.057876,18.839222,0.376710
0.3500,298896.316187,1081.613387,21.637673,0.432656
0.4000,298882.774058,1092.272966,24.463702,0.489150
0.4500,298869.098440,1103.037625,27.317583,0.546199
0.5000,298855.288030,1113.908389,30.199590,0.603806
0.5500,298841.341511,1124.886290,33.109999,0.661978
0.6000,298827.257555,1135.972371,36.049092,0.720720
0.6500,298813.034822,1147.167685,39.017150,0.780039
0.7000,298798.671956,1158.473295,42.014460,0.839939
0.7500,298784.167593,1169.890273,45.041308,0.900426
0.8000,298769.520351,1181.419703,48.097987,0.961507
0.8500,298754.728837,1193.062678,51.184789,1.023186
0.9000,298739.791646,1204.820301,54.302012,1.085471
0.9500,298724.707359,1216.693687,57.449955,1.148366
1.0000,298709.474541,1228.683961,60.628920,1.211878
1.0500,298694.091746,1240.792256,63.839214,1.276013
1.1000,298678.557514,1253.019720,67.081143,1.340777
1.1500,298662.870370,1265.367509,70.355021,1.406176
1.2000,298647.028826,1277.836791,73.661160,1.472217
1.2500,298631.031381,1290.428744,76.999878,1.538905
1.3000,298614.876516,1303.144558,80.371497,1.606248
1.3500,298598.562701,1315.985434,83.776338,1.674251
1.4000,298582.088391,1328.952584,87.214730,1.742922
1.4500,298565.452025,1342.047233,90.687002,1.812266
1.5000,298548.652029,1355.270614,94.193487,1.882290
1.5500,298531.686812,1368.623976,97.734522,1.953002
1.6000,298514.554770,1382.108575,101.310446,2.024407
1.6500,298497.254283,1395.725684,104.921602,2.096513
1.7000,298479.783715,1409.476583,108.568335,2.169326
1.7500,298462.141416,1423.362567,112.250997,2.242853
1.8000,298444.325720,1437.384943,115.969939,2.317102
1.8500,298426.334944,1451.545028,119.725518,2.392079
1.9000,298408.167391,1465.844154,123.518094,2.467792
1.9500,298389.821347,1480.283664,127.348029,2.544248
2.0000,298371.295082,1494.864913,131.215691,2.621454
2.0500,298352.586850,1509.589271,135.121451,2.699418
2.1000,298333.694888,1524.458118,139.065681,2.778146
2.1500,298314.617417,1539.472848,143.048759,2.857647
2.2000,298295.352642,1554.634869,147.071067,2.937928
2.2500,298275.898750,1569.945601,151.132990,3.018997
2.3000,298256.253910,1585.406477,155.234915,3.100861
2.3500,298236.416277,1601.018943,159.377235,3.183528
2.4000,298216.383987,1616.784461,163.560346,3.267007
2.4500,298196.155156,1632.704503,167.784648,3.351304
2.5000,298175.727888,1648.780557,172.050544,3.436429
2.5500,298155.100264,1665.014124,176.358443,3.522388
2.6000,298134.270351,1681.406718,180.708756,3.609191
2.6500,298113.236195,1697.959870,185.101897,3.696846
2.7000,298091.995825,1714.675122,189.538287,3.785361
2.7500,298070.547252,1731.554031,194.018350,3.874744
2.8000,298048.888469,1748.598169,198.542512,3.965003
2.8500,298027.017448,1765.809123,203.111205,4.056149
2.9000,298004.932145,1783.188493,207.724865,4.148188
2.9500,297982.630495,1800.737894,212.383932,4.241130
3.0000,297960.110414,1818.458958,217.088851,4.334984
3.0500,297937.369800,1836.353329,221.840069,4.429759
3.1000,297914.406531,1854.422669,226.638040,4.525463
3.1500,297891.218464,1872.668652,231.483220,4.622106
3.2000,297867.803438,1891.092970,236.376071,4.719697
3.2500,297844.159270,1909.697329,241.317059,4.818245
3.3000,297820.283760,1928.483452,246.306655,4.917759
3.3500,297796.174685,1947.453076,251.345332,5.018249
3.4000,297771.829801,1966.607956,256.433571,5.119725
3.4500,297747.246847,1985.949860,261.571856,5.222196
3.5000,297722.423537,2005.480575,266.760674,5.325672
3.5500,297697.357566,2025.201904,272.000520,5.430162
3.6000,297672.046608,2045.115663,277.291891,5.535677
3.6500,297646.488314,2065.223690,282.635290,5.642227
3.7000,297620.680317,2085.527834,288.031224,5.749821
3.7500,297594.620224,2106.029966,293.480206,5.858469
3.8000,297568.305623,2126.731969,298.982753,5.968183
3.8500,297541.734078,2147.635747,304.539387,6.078973
3.9000,297514.903132,2168.743220,310.150636,6.190848
3.9500,297487.810306,2190.056323,315.817030,6.303820
4.0000,297460.453097,2211.577013,321.539108,6.417899
4.0500,297432.828979,2233.307260,327.317412,6.533096
4.1000,297404.935406,2255.249055,333.152490,6.649422
4.1500,297376.769804,2277.404406,339.044893,6.766887
4.2000,297348.329580,2299.775337,344.995179,6.885504
4.2500,297319.612115,2322.363894,351.003913,7.005283
4.3000,297290.614767,2345.172138,357.071662,7.126235
4.3500,297261.334870,2368.202150,363.199000,7.248372
4.4000,297231.769733,2391.456029,369.386507,7.371706
4.4500,297201.916643,2414.935894,375.634767,7.496247
4.5000,297171.772860,2438.643881,381.944371,7.622008
4.5500,297141.335620,2462.582146,388.315915,7.749001
4.6000,297110.602135,2486.752865,394.750000,7.877237
4.6500,297079.569590,2511.158231,401.247233,8.006729
4.7000,297048.235147,2535.800460,407.808228,8.137489
4.7500,297016.595941,2560.681783,414.433603,8.269529
4.8000,296984.649082,2585.804456,421.123983,8.402862
4.8500,296952.391652,2611.170750,427.879997,8.537499
4.9000,296919.820711,2636.782960,434.702284,8.673454
4.9500,296886.933288,2662.643398,441.591484,8.810740
5.0000,296853.726389,2688.754400,448.548246,8.949369
5.0500,296820.196992,2715.118318,455.573226,9.089355
5.1000,296786.342047,2741.737529,462.667083,9.230710
5.1500,296752.158478,2768.614428,469.830484,9.373447
5.2000,296717.643183,2795.751432,477.064103,9.517581
5.2500,296682.793029,2823.150979,484.368619,9.663125
5.3000,296647.604859,2850.815529,491.744718,9.810092
5.3500,296612.075484,2878.747562,499.193092,9.958496
5.4000,296576.201690,2906.949581,506.714439,10.108351
5.4500,296539.980235,2935.424110,514.309466,10.259671
5.5000,296503.407844,2964.173695,521.978883,10.412470
5.5500,296466.481218,2993.200904,529.723410,10.566763
5.6000,296429.197027,3022.508327,537.543771,10.722564
5.6500,296391.551910,3052.098577,545.440698,10.879886
5.7000,296353.542480,3081.974290,553.414931,11.038746
5.7500,296315.165318,3112.138123,561.467214,11.199158
5.8000,296276.416976,3142.592757,569.598301,11.361137
5.8500,296237.293974,3173.340896,577.808951,11.524698
5.9000,296197.792804,3204.385267,586.099930,11.689856
5.9500,296157.909926,3235.728620,594.472013,11.856626
6.0000,296117.641770,3267.373729,602.925981,12.025025
6.0500,296076.984735,3299.323392,611.462621,12.195068
6.1000,296035.935188,3331.580429,620.082729,12.366770
6.1500,295994.489464,3364.147686,628.787108,12.540148
6.2000,295952.643868,3397.028033,637.576568,12.715217
6.2500,295910.394672,3430.224362,646.451927,12.891994
6.3000,295867.738116,3463.739593,655.414011,13.070496
6.3500,295824.670407,3497.576667,664.463652,13.250739
6.4000,295781.187722,3531.738553,673.601691,13.432739
6.4500,295737.286201,3566.228242,682.828977,13.616514
6.5000,295692.961955,3601.048753,692.146365,13.802080
6.5500,295648.211059,3636.203127,701.554720,13.989455
6.6000,295603.029555,3671.694434,711.054913,14.178656
6.6500,295557.413452,3707.525767,720.647825,14.369701
6.7000,295511.358724,3743.700245,730.334345,14.562607
6.7500,295464.861312,3780.221013,740.115367,14.757392
6.8000,295417.917123,3817.091244,749.991797,14.954074
6.8500,295370.522027,3854.314136,759.964547,15.152670
6.9000,295322.671860,3891.892911,770.034539,15.353201
6.9500,295274.362424,3929.830820,780.202701,15.555683
7.0000,295225.589486,3968.131142,790.469973,15.760136
7.0500,295176.348774,4006.797179,800.837300,15.966579
7.1000,295126.635985,4045.832264,811.305638,16.175029
7.1500,295076.446775,4085.239755,821.875951,16.385508
7.2000,295025.776769,4125.023037,832.549211,16.598033
7.2500,294974.621550,4165.185523,843.326399,16.812624
7.3000,294922.976669,4205.730654,854.208507,17.029302
7.3500,294870.837637,4246.661899,865.196533,17.248086
7.4000,294818.199928,4287.982755,876.291486,17.468995
7.4500,294765.058982,4329.696746,887.494384,17.692051
7.5000,294711.410196,4371.807426,898.806253,17.917274
7.5500,294657.248933,4414.318375,910.228130,18.144683
7.6000,294602.570516,4457.233203,921.761059,18.374301
7.6500,294547.370232,4500.555551,933.406096,18.606148
7.7000,294491.643326,4544.289084,945.164304,18.840245
7.7500,294435.385007,4588.437500,957.036758,19.076613
7.8000,294378.590443,4633.004524,969.024542,19.315275
7.8500,294321.254765,4677.993912,981.128748,19.556251
7.9000,294263.373062,4723.409449,993.350480,19.799564
7.9500,294204.940385,4769.254949,1005.690850,20.045236
8.0000,294145.951744,4815.534255,1018.150981,20.293289
8.0500,294086.402110,4862.251243,1030.732007,20.543746
8.1000,294026.286413,4909.409815,1043.435070,20.796629
8.1500,293965.599542,4957.013907,1056.261324,21.051961
8.2000,293904.336346,5005.067483,1069.211932,21.309766
8.2500,293842.491632,5053.574538,1082.288068,21.570067
8.3000,293780.060166,5102.539099,1095.490916,21.832887
8.3500,293717.036674,5151.965221,1108.821672,22.098250
8.4000,293653.415838,5201.856992,1122.281539,22.366180
8.4500,293589.192299,5252.218531,1135.871735,22.636701
8.5000,293524.360657,5303.053987,1149.593486,22.909838
8.5500,293458.915467,5354.367542,1163.448030,23.185615
8.6000,293392.851245,5406.163408,1177.436615,23.464058
8.6500,293326.162460,5458.445828,1191.560502,23.745190
8.7000,293258.843542,5511.219079,1205.820959,24.029038
8.7500,293190.888876,5564.487469,1220.219270,24.315626
8.8000,293122.292803,5618.255335,1234.756727,24.604981
8.8500,293053.049622,5672.527051,1249.434634,24.897128
8.9000,292983.153587,5727.307019,1264.254308,25.192094
8.9500,292912.598907,5782.599676,1279.217075,25.489905
9.0000,292841.379750,5838.409490,1294.324275,25.790588
9.0500,292769.490237,5894.740961,1309.577257,26.094169
9.1000,292696.924445,5951.598624,1324.977384,26.400675
9.1500,292623.676406,6008.987044,1340.526029,26.710134
9.2000,292549.740108,6066.910820,1356.224580,27.022574
9.2500,292475.109494,6125.374584,1372.074434,27.338022
9.3000,292399.778459,6184.383001,1388.077000,27.656506
9.3500,292323.740855,6243.940770,1404.233701,27.978054
9.4000,292246.990488,6304.052620,1420.545972,28.302696
9.4500,292169.521119,6364.723317,1437.015259,28.630459
9.5000,292091.326459,6425.957658,1453.643022,28.961373
9.5500,292012.400178,6487.760475,1470.430732,29.295467
9.6000,291932.735897,6550.136633,1487.379873,29.632770
9.6500,291852.327189,6613.091029,1504.491943,29.973313
9.7000,291771.167582,6676.628597,1521.768452,30.317124
9.7500,291689.250559,6740.754301,1539.210922,30.664236
9.8000,291606.569553,6805.473141,1556.820888,31.014677
9.8500,291523.117950,6870.790151,1574.599901,31.368480
9.9000,291438.889091,6936.710399,1592.549520,31.725674
9.9500,291353.876267,7003.238984,1610.671322,32.086291
